#OTUID,taxonomy,confidence
77a63807d713c157d2cab1f0fb958fbb,k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Chaetothyriales;f__Chaetothyriaceae;g__Ceramothyrium;s__Ceramothyrium_carniolicum,1
adb51ab765f12171012d3469b0071172,k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales,1
5fb1e5766c22c50604748ea453800221,k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Filobasidiales;f__Filobasidiaceae;g__Naganishia,1
009036db90505e0c347f758d38cb402e,k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Cantharellales;f__Cantharellales_fam_Incertae_sedis;g__Sistotrema;s__unidentified,1
388a538f94741df6655b47533f3ef222,k__Fungi;p__Ascomycota,0.7
9dee00100f2a7efdf5c8b6c1099df41d,k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales,0.6
dbd91e2b757078814231caae2a1e12f3,k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Pleosporaceae;g__Bipolaris,0.9
1a818e3140e305d6db5bbac9e1645117,k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Hymenochaetales;f__Hymenochaetales_fam_Incertae_sedis;g__Resinicium,1
1746f98f60f73e20318f0dda9ae4e05e,k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Hymenochaetales;f__Schizoporaceae;g__Hyphodontia,1
a92d31fdafbf6a66575fc8954d1a4dcf,k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Polyporales;f__Polyporaceae;g__Trametes,0.9
73fe82874ec316a934b8f4bc57fa2023,k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Aspergillaceae;g__Aspergillus;s__Aspergillus_penicillioides,0.7
980ca1f657b30bd46cb41c97503d386e,k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Pleurotaceae;g__Pleurotus,0.7
9c27bded87fdba77910d9d5e914381a0,k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Cystofilobasidiales;f__Cystofilobasidiaceae;g__Cystofilobasidium,1
28e1e2a9a52b365ffc1a24b94672d352,k__Fungi;p__Ascomycota,0.7
ba7cfe29b68248efc4a04c7aa3b12c1f,k__Fungi;p__Ascomycota;c__Saccharomycetes;o__Saccharomycetales;f__Saccharomycetales_fam_Incertae_sedis;g__Candida;s__Candida_parapsilosis,0.666666667
942939f6bc8bf565cd75e4c5904a89ad,k__Fungi;p__Ascomycota,0.7
ccac6aad8471dfcf5f58e4f33fc143c2,k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Didymellaceae,1
dc92e2b73a239dc04435f738f62f8c1c,k__Fungi;p__Ascomycota,0.7
654ecdf765dbc93d59bbbb7cfbaa25a1,k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Schizophyllaceae;g__Schizophyllum,1
